Data
49.6;?;Finn to Neser, no run;
49.5;?;Finn to Neser, no run;
49.4;1;Finn to Agar, 1 run;
49.3;1b;Finn to Neser, 1 bye;
49.2;4;Finn to Neser, FOUR runs;
49.1;1;Finn to Agar, 1 run;
48.6;1lb;Barber to Agar, 1 leg bye;
48.5;W;Barber to Paine, OUT;Tim Paine c Franklin b Barber 9 (14m 6b 1x4 0x6) SR: 150;
48.4;1;Barber to Agar, 1 run;
48.3;2;Barber to Agar, 2 runs;
48.2;1;Barber to Paine, 1 run;
48.1;1;Barber to Agar, 1 run;
48.1;1w;Barber to Agar, 1 wide;
37.6;4;Sowter to Head, FOUR runs;
37.5;?;Sowter to Head, no run;
37.4;3;Sowter to Finch, 3 runs;
37.3;?;Sowter to Finch, no run;
37.2;1;Sowter to Head, 1 run;
37.1;1;Sowter to Finch, 1 run;
36.6;?;Patel to Head, no run;
36.5;?;Patel to Head, no run;
36.4;4;Patel to Head, FOUR runs;
36.3;1;Patel to Finch, 1 run;
36.2;?;Patel to Finch, no run;
36.1;1;Patel to Head, 1 run;
47.6;2;Finn to Paine, 2 runs;
47.5;1;Finn to Agar, 1 run;
47.4;1;Finn to Paine, 1 run;
47.3;4;Finn to Paine, FOUR runs;
47.2;1;Finn to Agar, 1 run;
47.1;1;Finn to Paine, 1 run;
46.6;?;Barber to Agar, no run;
46.5;4;Barber to Agar, FOUR runs;
46.4;4;Barber to Agar, FOUR runs;
46.3;W;Barber to Finch, OUT;Aaron Finch c Franklin b Barber 54 (60m 52b 2x4 3x6) SR: 103.84;
46.2;6;Barber to Finch, SIX runs;
46.1;1;Barber to Agar, 1 run;
35.6;?;Sowter to Finch, no run;
35.5;1;Sowter to Head, 1 run;
35.5;1w;Sowter to Head, 1 wide;
35.4;?;Sowter to Head, no run;
35.3;1;Sowter to Finch, 1 run;
35.2;1;Sowter to Head, 1 run;
35.1;1;Sowter to Finch, 1 run;
34.6;1;Patel to Finch, 1 run;
34.5;?;Patel to Finch, no run;
34.4;1;Patel to Head, 1 run;
34.3;1;Patel to Finch, 1 run;
34.2;?;Patel to Finch, no run;
34.1;1;Patel to Head, 1 run;
33.6;3;Sowter to Head, 3 runs;
33.5;?;Sowter to Head, no run;
33.4;1;Sowter to Finch, 1 run;
33.3;?;Sowter to Finch, no run;
33.2;?;Sowter to Finch, no run;
33.1;1;Sowter to Head, 1 run;
32.6;1;Patel to Head, 1 run;
32.5;1;Patel to Finch, 1 run;
32.4;1;Patel to Head, 1 run;
32.3;1;Patel to Finch, 1 run;
32.2;6;Patel to Finch, SIX runs;
32.1;1;Patel to Head, 1 run;
31.6;?;Sowter to Finch, no run;
31.6;1w;Sowter to Finch, 1 wide;
31.5;?;Sowter to Finch, no run;
31.4;?;Sowter to Finch, no run;
31.3;?;Sowter to Finch, no run;
31.2;4;Sowter to Finch, FOUR runs;
31.1;1;Sowter to Head, 1 run;
30.6;?;Patel to Finch, no run;
30.5;W;Patel to Maxwell, OUT;Glenn Maxwell lbw b Patel 3 (6m 7b 0x4 0x6) SR: 42.85;
30.4;?;Patel to Maxwell, no run;
30.3;1;Patel to Head, 1 run;
30.2;1;Patel to Maxwell, 1 run;
30.1;?;Patel to Maxwell, no run;
29.6;1;Holden to Maxwell, 1 run;
29.5;1;Holden to Head, 1 run;
29.4;1;Holden to Maxwell, 1 run;
29.3;?;Holden to Maxwell, no run;
29.2;W;Holden to Marsh, OUT;Shaun Marsh c Finn b Holden 49 (91m 64b 6x4 0x6) SR: 76.56;
29.1;1;Holden to Head, 1 run;
28.6;?;Sowter to Marsh, no run;
28.5;?;Sowter to Marsh, no run;
28.4;1;Sowter to Head, 1 run;
28.3;?;Sowter to Head, no run;
28.2;1;Sowter to Marsh, 1 run;
28.1;?;Sowter to Marsh, no run;
27.6;?;Holden to Head, no run;
27.5;?;Holden to Head, no run;
27.4;?;Holden to Head, no run;
27.3;2;Holden to Head, 2 runs;
27.2;1lb;Holden to Marsh, 1 leg bye;
27.1;?;Holden to Marsh, no run;
26.6;?;Sowter to Head, no run;
26.5;2;Sowter to Head, 2 runs;
26.4;1lb;Sowter to Marsh, 1 leg bye;
26.3;?;Sowter to Marsh, no run;
26.2;1;Sowter to Head, 1 run;
26.1;?;Sowter to Head, no run;
25.6;1;Holden to Head, 1 run;
25.5;?;Holden to Head, no run;
25.4;?;Holden to Head, no run;
25.3;1;Holden to Marsh, 1 run;
25.2;?;Holden to Marsh, no run;
25.2;1w;Holden to Marsh, 1 wide;
25.1;?;Holden to Marsh, no run;
24.6;?;Sowter to Head, no run;
24.5;?;Sowter to Head, no run;
24.4;?;Sowter to Head, no run;
24.3;?;Sowter to Head, no run;
24.2;1;Sowter to Marsh, 1 run;
24.1;1;Sowter to Head, 1 run;
23.6;1;Holden to Head, 1 run;
23.5;1;Holden to Marsh, 1 run;
23.4;?;Holden to Marsh, no run;
23.3;?;Holden to Marsh, no run;
23.2;?;Holden to Marsh, no run;
23.1;1;Holden to Head, 1 run;
22.6;4;Cartwright to Marsh, FOUR runs;
22.5;1;Cartwright to Head, 1 run;
22.4;?;Cartwright to Head, no run;
22.3;?;Cartwright to Head, no run;
22.2;4;Cartwright to Head, FOUR runs;
22.1;1;Cartwright to Marsh, 1 run;
21.6;?;Holden to Head, no run;
21.5;?;Holden to Head, no run;
21.4;?;Holden to Head, no run;
21.3;?;Holden to Head, no run;
21.2;?;Holden to Head, no run;
21.1;?;Holden to Head, no run;
20.6;1;Cartwright to Head, 1 run;
20.5;?;Cartwright to Head, no run;
20.4;4;Cartwright to Head, FOUR runs;
20.3;1;Cartwright to Marsh, 1 run;
20.2;1;Cartwright to Head, 1 run;
20.1;?;Cartwright to Head, no run;
19.6;1;Holden to Head, 1 run;
19.5;1;Holden to Marsh, 1 run;
19.4;?;Holden to Marsh, no run;
19.3;?;Holden to Marsh, no run;
19.2;1;Holden to Head, 1 run;
19.1;?;Holden to Head, no run;
18.6;4;Cartwright to Marsh, FOUR runs;
18.5;?;Cartwright to Marsh, no run;
18.4;1;Cartwright to Head, 1 run;
18.3;?;Cartwright to Head, no run;
18.2;1;Cartwright to Marsh, 1 run;
18.1;1;Cartwright to Head, 1 run;
17.6;4;Holden to Marsh, FOUR runs;
17.5;1lb;Holden to Head, 1 leg bye;
17.4;1;Holden to Marsh, 1 run;
17.3;1;Holden to Head, 1 run;
17.2;1;Holden to Marsh, 1 run;
17.1;2;Holden to Marsh, 2 runs;
16.6;?;Cartwright to Head, no run;
16.5;2;Cartwright to Head, 2 runs;
16.4;?;Cartwright to Head, no run;
16.3;1;Cartwright to Marsh, 1 run;
16.2;?;Cartwright to Marsh, no run;
16.1;2;Cartwright to Marsh, 2 runs;
16.1;2nb;Cartwright to Head, (no ball) 1 run;
15.6;1;Holden to Head, 1 run;
15.5;?;Holden to Head, no run;
15.4;?;Holden to Head, no run;
15.3;?;Holden to Head, no run;
15.2;?;Holden to Head, no run;
15.1;?;Holden to Head, no run;
14.6;1;Patel to Head, 1 run;
14.5;1;Patel to Marsh, 1 run;
14.4;?;Patel to Marsh, no run;
14.3;1;Patel to Head, 1 run;
14.2;?;Patel to Head, no run;
14.1;1;Patel to Marsh, 1 run;
13.6;?;Holden to Head, no run;
13.5;1;Holden to Marsh, 1 run;
13.4;?;Holden to Marsh, no run;
13.3;1;Holden to Head, 1 run;
13.2;?;Holden to Head, no run;
13.1;1;Holden to Marsh, 1 run;
12.6;1;Patel to Marsh, 1 run;
12.5;4;Patel to Marsh, FOUR runs;
12.4;1;Patel to Head, 1 run;
12.3;?;Patel to Head, no run;
12.2;1;Patel to Marsh, 1 run;
12.1;1;Patel to Head, 1 run;
11.6;?;Holden to Marsh, no run;
11.5;?;Holden to Marsh, no run;
11.4;?;Holden to Marsh, no run;
11.3;?;Holden to Marsh, no run;
11.2;?;Holden to Marsh, no run;
11.1;?;Holden to Marsh, no run;
11.1;1w;Holden to Marsh, 1 wide;
10.6;1;Patel to Marsh, 1 run;
10.5;?;Patel to Marsh, no run;
10.4;?;Patel to Marsh, no run;
10.3;1;Patel to Head, 1 run;
10.2;?;Patel to Head, no run;
10.1;?;Patel to Head, no run;
9.6;1;Barber to Head, 1 run;
9.5;?;Barber to Head, no run;
9.4;?;Barber to Head, no run;
9.4;1w;Barber to Head, 1 wide;
9.3;?;Barber to Head, no run;
9.2;?;Barber to Head, no run;
9.1;?;Barber to Head, no run;
8.6;?;Finn to Marsh, no run;
8.5;?;Finn to Marsh, no run;
8.4;?;Finn to Marsh, no run;
8.3;1;Finn to Head, 1 run;
8.2;4;Finn to Head, FOUR runs;
8.1;2;Finn to Head, 2 runs;
7.6;4;Barber to Marsh, FOUR runs;
7.5;1lb;Barber to Head, 1 leg bye;
7.4;?;Barber to Head, no run;
7.3;?;Barber to Head, no run;
