Data
Match State: Innings Break
19.6;W;Bravo to Zampa, OUT;Adam Zampa b Bravo 2 (9m 4b 0x4 0x6) SR: 50;
19.5;1lb;Bravo to Tye, 1 leg bye;
19.4;?;Bravo to Tye, no run;
19.3;W;Bravo to Smith, OUT;Steven Smith lbw b Bravo 36 (51m 29b 1x4 0x6) SR: 124.13;
19.2;?;Bravo to Smith, no run;
19.1;1;Bravo to Zampa, 1 run;
18.6;1;Russell to Zampa, 1 run;
18.5;1;Russell to Smith, 1 run;
18.4;1lb;Russell to Zampa, 1 leg bye;
18.3;1;Russell to Smith, 1 run;
18.2;2;Russell to Smith, 2 runs;
18.1;2;Russell to Smith, 2 runs;
17.6;W;Bravo to Hastings, OUT;John Hastings b Bravo 10 (8m 6b 0x4 1x6) SR: 166.66;
17.5;1;Bravo to Smith, 1 run;
17.4;1;Bravo to Hastings, 1 run;
17.3;2;Bravo to Hastings, 2 runs;
17.2;?;Bravo to Hastings, no run;
17.1;6;Bravo to Hastings, SIX runs;
16.6;2;Brathwaite to Smith, 2 runs;
16.6;1w;Brathwaite to Smith, 1 wide;
16.5;1;Brathwaite to Hastings, 1 run;
16.4;1;Brathwaite to Smith, 1 run;
16.3;W;Brathwaite to Nevill, OUT;Peter Nevill c ?Ramdin b Brathwaite 4 (12m 10b 0x4 0x6) SR: 40;
16.2;1;Brathwaite to Smith, 1 run;
16.1;1;Brathwaite to Nevill, 1 run;
15.6;1;Taylor to Nevill, 1 run;
15.5;1;Taylor to Smith, 1 run;
15.4;2;Taylor to Smith, 2 runs;
15.3;4;Taylor to Smith, FOUR runs;
15.2;2;Taylor to Smith, 2 runs;
15.2;1w;Taylor to Smith, 1 wide;
15.1;2;Taylor to Smith, 2 runs;
14.6;?;Brathwaite to Nevill, no run;
14.5;?;Brathwaite to Nevill, no run;
14.4;?;Brathwaite to Nevill, no run;
14.4;1w;Brathwaite to Nevill, 1 wide;
14.3;1;Brathwaite to Smith, 1 run;
14.2;1;Brathwaite to Nevill, 1 run;
14.1;?;Brathwaite to Nevill, no run;
13.6;1;Benn to Nevill, 1 run;
13.5;?;Benn to Nevill, no run;
13.4;W;Benn to Marsh, OUT;Mitchell Marsh c Sammy b Benn 2 (2m 2b 0x4 0x6) SR: 100;
13.3;2;Benn to Marsh, 2 runs;
13.2;W;Benn to Maxwell, OUT;Glenn Maxwell b Benn 0 (3m 2b 0x4 0x6) SR: 0;
13.1;1;Benn to Smith, 1 run;
12.6;?;Brathwaite to Maxwell, no run;
12.5;W;Brathwaite to Khawaja, OUT;Usman Khawaja c ?Ramdin b Brathwaite 5 (5m 3b 0x4 0x6) SR: 166.66;
12.4;1;Brathwaite to Smith, 1 run;
12.3;?;Brathwaite to Smith, no run;
12.2;3;Brathwaite to Khawaja, 3 runs;
12.1;2;Brathwaite to Khawaja, 2 runs;
11.6;2;Bravo to Smith, 2 runs;
11.5;W;Bravo to Watson, OUT;Shane Watson c Nurse b Bravo 60 (49m 39b 4x4 4x6) SR: 153.84;
11.4;1;Bravo to Smith, 1 run;
11.3;?;Bravo to Smith, no run;
11.2;2;Bravo to Smith, 2 runs;
11.1;1;Bravo to Watson, 1 run;
10.6;1;Benn to Watson, 1 run;
10.5;1;Benn to Smith, 1 run;
10.4;1;Benn to Watson, 1 run;
10.3;6;Benn to Watson, SIX runs;
10.2;6;Benn to Watson, SIX runs;
10.1;2;Benn to Watson, 2 runs;
9.6;2;Nurse to Smith, 2 runs;
9.5;?;Nurse to Smith, no run;
9.4;1;Nurse to Watson, 1 run;
9.3;1;Nurse to Smith, 1 run;
9.2;1;Nurse to Watson, 1 run;
9.1;?;Nurse to Watson, no run;
8.6;1;Benn to Watson, 1 run;
8.5;1;Benn to Smith, 1 run;
8.4;1;Benn to Watson, 1 run;
8.3;1;Benn to Smith, 1 run;
8.2;W;Benn to Finch, OUT;Aaron Finch c Holder b Benn 33 (34m 24b 6x4 0x6) SR: 137.5;
8.1;1;Benn to Watson, 1 run;
7.6;?;Nurse to Finch, no run;
7.5;1;Nurse to Watson, 1 run;
7.4;?;Nurse to Watson, no run;
7.3;?;Nurse to Watson, no run;
7.2;4;Nurse to Watson, FOUR runs;
7.2;1w;Nurse to Watson, 1 wide;
7.1;4;Nurse to Watson, FOUR runs;
6.6;4;Benn to Finch, FOUR runs;
6.5;4;Benn to Finch, FOUR runs;
6.4;?;Benn to Finch, no run;
6.3;?;Benn to Finch, no run;
6.2;1;Benn to Watson, 1 run;
6.1;2;Benn to Watson, 2 runs;
5.6;?;Russell to Finch, no run;
5.5;4;Russell to Finch, FOUR runs;
5.4;1;Russell to Watson, 1 run;
5.3;?;Russell to Watson, no run;
5.2;?;Russell to Watson, no run;
5.1;1;Russell to Finch, 1 run;
4.6;1;Taylor to Finch, 1 run;
4.5;2;Taylor to Finch, 2 runs;
4.4;?;Taylor to Finch, no run;
4.3;1;Taylor to Watson, 1 run;
4.2;?;Taylor to Watson, no run;
4.1;4;Taylor to Watson, FOUR runs;
3.6;1;Bravo to Watson, 1 run;
3.5;1;Bravo to Finch, 1 run;
3.4;?;Bravo to Finch, no run;
3.3;1;Bravo to Watson, 1 run;
3.2;?;Bravo to Watson, no run;
3.1;1;Bravo to Finch, 1 run;
2.6;6;Holder to Watson, SIX runs;
2.6;7nb;Holder to Watson, (no ball) SIX runs;
2.5;?;Holder to Watson, no run;
2.4;1;Holder to Finch, 1 run;
2.3;1lb;Holder to Watson, 1 leg bye;
2.2;1lb;Holder to Finch, 1 leg bye;
2.1;1;Holder to Watson, 1 run;
1.6;4;Taylor to Finch, FOUR runs;
1.5;4;Taylor to Finch, FOUR runs;
1.4;?;Taylor to Finch, no run;
1.3;1;Taylor to Watson, 1 run;
1.2;1;Taylor to Finch, 1 run;
1.1;?;Taylor to Finch, no run;
0.6;?;Russell to Watson, no run;
0.5;4;Russell to Watson, FOUR runs;
0.4;?;Russell to Watson, no run;
0.3;?;Russell to Watson, no run;
0.2;1;Russell to Finch, 1 run;
0.1;4;Russell to Finch, FOUR runs;

