Data
86.1;W;Starc to Dockrell, OUT;George Dockrell lbw b Starc 0 (19m 8b 0x4 0x6) SR: 0;
85.6;2;Pattinson to Hussain, 2 runs;
85.5;4lb;Pattinson to Hussain, 4 leg byes;
85.4;4;Pattinson to Hussain, FOUR runs;
85.3;W;Pattinson to Overton, OUT;Jamie Overton b Pattinson 0 (10m 8b 0x4 0x6) SR: 0;
85.2;?;Pattinson to Overton, no run;
85.1;?;Pattinson to Overton, no run;
84.6;?;Starc to Dockrell, no run;
84.5;?;Starc to Dockrell, no run;
84.4;?;Starc to Dockrell, no run;
84.3;?;Starc to Dockrell, no run;
84.2;?;Starc to Dockrell, no run;
84.1;?;Starc to Dockrell, no run;
61.6;?;Lyon to Hildreth, no run;
61.5;?;Lyon to Hildreth, no run;
61.4;?;Lyon to Hildreth, no run;
61.3;?;Lyon to Hildreth, no run;
61.2;?;Lyon to Hildreth, no run;
61.1;?;Lyon to Hildreth, no run;
60.6;1;Faulkner to Hildreth, 1 run;
60.5;?;Faulkner to Hildreth, no run;
60.4;4;Faulkner to Hildreth, FOUR runs;
60.3;?;Faulkner to Hildreth, no run;
60.2;4;Faulkner to Hildreth, FOUR runs;
60.1;?;Faulkner to Hildreth, no run;
83.6;?;Pattinson to Overton, no run;
83.5;?;Pattinson to Overton, no run;
83.4;?;Pattinson to Overton, no run;
83.3;?;Pattinson to Overton, no run;
83.2;?;Pattinson to Overton, no run;
83.1;W;Pattinson to Trego, OUT;Peter Trego lbw b Pattinson 0 (12m 5b 0x4 0x6) SR: 0;
82.6;?;Starc to Dockrell, no run;
82.5;W;Starc to Meschede, OUT;Craig Meschede b Starc 0 (3m 4b 0x4 0x6) SR: 0;
82.4;?;Starc to Meschede, no run;
82.3;?;Starc to Meschede, no run;
82.2;?;Starc to Meschede, no run;
82.1;W;Starc to Barrow, OUT;Alex Barrow lbw b Starc 0 (9m 2b 0x4 0x6) SR: 0;
59.6;?;Lyon to Jones, no run;
59.5;?;Lyon to Jones, no run;
59.4;?;Lyon to Jones, no run;
59.3;?;Lyon to Jones, no run;
