Data
40.6;1;Malik to Pattinson, 1 run;
40.5;1;Malik to Johnson, 1 run;
40.4;4;Malik to Johnson, FOUR runs;
40.3;2;Malik to Johnson, 2 runs;
40.2;1;Malik to Pattinson, 1 run;
40.1;2;Malik to Pattinson, 2 runs;
39.6;4;Buck to Johnson, FOUR runs;
39.5;1;Buck to Pattinson, 1 run;
39.4;1;Buck to Johnson, 1 run;
39.3;1;Buck to Pattinson, 1 run;
39.2;1;Buck to Johnson, 1 run;
39.1;?;Buck to Johnson, no run;
38.6;?;Abdul Razzaq to Pattinson, no run;
38.5;1;Abdul Razzaq to Johnson, 1 run;
38.4;1;Abdul Razzaq to Pattinson, 1 run;
38.3;?;Abdul Razzaq to Pattinson, no run;
38.2;W;Abdul Razzaq to McKay, OUT;Clint McKay lbw b Abdul Razzaq 0 (1m 1b 0x4 0x6) SR: 0;
38.1;1;Abdul Razzaq to Johnson, 1 run;
25.6;1;Sykes to Warner, 1 run;
25.5;6;Sykes to Warner, SIX runs;
25.4;?;Sykes to Warner, no run;
25.3;1;Sykes to Clarke, 1 run;
25.2;1;Sykes to Warner, 1 run;
25.1;6;Sykes to Warner, SIX runs;
24.6;?;Cobb to Clarke, no run;
24.5;1;Cobb to Warner, 1 run;
24.4;?;Cobb to Warner, no run;
24.3;1;Cobb to Clarke, 1 run;
24.2;1;Cobb to Warner, 1 run;
24.1;?;Cobb to Warner, no run;
37.6;W;Buck to Smith, OUT;Steven Smith c Smith b Buck 11 (19m 9b 0x4 0x6) SR: 122.22;
37.5;1;Buck to Johnson, 1 run;
37.4;?;Buck to Johnson, no run;
37.3;1;Buck to Smith, 1 run;
37.2;1;Buck to Johnson, 1 run;
37.1;2;Buck to Johnson, 2 runs;
36.6;1;Abdul Razzaq to Johnson, 1 run;
36.5;?;Abdul Razzaq to Johnson, no run;
36.4;1;Abdul Razzaq to Smith, 1 run;
36.3;2;Abdul Razzaq to Smith, 2 runs;
36.2;1;Abdul Razzaq to Johnson, 1 run;
36.1;W;Abdul Razzaq to Bailey, OUT;George Bailey b Abdul Razzaq 21 (31m 20b 0x4 1x6) SR: 105;
23.6;1;Sykes to Warner, 1 run;
23.5;?;Sykes to Warner, no run;
23.4;1;Sykes to Clarke, 1 run;
23.3;1;Sykes to Warner, 1 run;
23.2;1;Sykes to Clarke, 1 run;
23.1;1;Sykes to Warner, 1 run;
22.6;?;Cobb to Clarke, no run;
22.5;?;Cobb to Clarke, no run;
22.4;?;Cobb to Clarke, no run;
22.3;1;Cobb to Warner, 1 run;
22.3;1w;Cobb to Warner, 1 wide;
22.2;?;Cobb to Warner, no run;
22.1;1;Cobb to Clarke, 1 run;
21.6;?;Sykes to Warner, no run;
21.5;?;Sykes to Warner, no run;
21.4;1;Sykes to Clarke, 1 run;
21.3;1;Sykes to Warner, 1 run;
21.2;?;Sykes to Warner, no run;
21.1;1;Sykes to Clarke, 1 run;
20.6;?;Abdul Razzaq to Warner, no run;
20.5;?;Abdul Razzaq to Warner, no run;
20.4;1;Abdul Razzaq to Clarke, 1 run;
20.3;1;Abdul Razzaq to Warner, 1 run;
20.2;1;Abdul Razzaq to Clarke, 1 run;
20.1;?;Abdul Razzaq to Clarke, no run;
19.6;2;Sykes to Warner, 2 runs;
19.5;?;Sykes to Warner, no run;
19.4;1;Sykes to Clarke, 1 run;
19.3;?;Sykes to Clarke, no run;
19.2;?;Sykes to Clarke, no run;
19.1;?;Sykes to Clarke, no run;
18.6;1;Abdul Razzaq to Clarke, 1 run;
18.5;?;Abdul Razzaq to Clarke, no run;
18.4;1;Abdul Razzaq to Warner, 1 run;
18.3;1;Abdul Razzaq to Clarke, 1 run;
18.2;?;Abdul Razzaq to Clarke, no run;
18.1;?;Abdul Razzaq to Clarke, no run;
17.6;4;Sykes to Warner, FOUR runs;
17.5;?;Sykes to Warner, no run;
17.4;?;Sykes to Warner, no run;
17.3;1;Sykes to Clarke, 1 run;
17.2;W;Sykes to Watson, OUT;Shane Watson c Thornely b Sykes 1 (10m 5b 0x4 0x6) SR: 20;
17.1;?;Sykes to Watson, no run;
16.6;1;Abdul Razzaq to Watson, 1 run;
