Data
Match State: Tea - Day 1
58.5;W;Marsh to Siboto, OUT;Malusi Siboto lbw b Marsh 10 (18m 9b 2x4 0x6) SR: 111.11;
58.4;2;Marsh to Siboto, 2 runs;
58.3;4;Marsh to Siboto, FOUR runs;
58.2;?;Marsh to Siboto, no run;
58.1;4;Marsh to Siboto, FOUR runs;
57.6;W;Cummins to Olivier, OUT;Duanne Olivier c Smith b Cummins 0 (3m 4b 0x4 0x6) SR: 0;
57.5;?;Cummins to Olivier, no run;
57.4;?;Cummins to Olivier, no run;
57.3;?;Cummins to Olivier, no run;
57.2;W;Cummins to von Berg, OUT;Shaun von Berg b Cummins 4 (14m 10b 1x4 0x6) SR: 40;
57.1;?;Cummins to von Berg, no run;
56.6;?;Marsh to Siboto, no run;
56.5;1lb;Marsh to von Berg, 1 leg bye;
56.4;?;Marsh to von Berg, no run;
56.3;4;Marsh to von Berg, FOUR runs;
56.2;?;Marsh to von Berg, no run;
56.1;?;Marsh to von Berg, no run;
25.6;?;Lyon to de Bruyn, no run;
25.5;2;Lyon to de Bruyn, 2 runs;
25.4;?;Lyon to de Bruyn, no run;
25.3;1;Lyon to Zubayr Hamza, 1 run;
25.2;?;Lyon to Zubayr Hamza, no run;
25.1;?;Lyon to Zubayr Hamza, no run;
24.6;?;Hazlewood to de Bruyn, no run;
24.5;?;Hazlewood to de Bruyn, no run;
24.4;4;Hazlewood to de Bruyn, FOUR runs;
24.3;4;Hazlewood to de Bruyn, FOUR runs;
24.2;?;Hazlewood to de Bruyn, no run;
24.1;?;Hazlewood to de Bruyn, no run;
55.6;?;Cummins to Siboto, no run;
55.5;?;Cummins to Siboto, no run;
55.4;?;Cummins to Siboto, no run;
55.3;W;Cummins to Mulder, OUT;Wiaan Mulder c ?Paine b Cummins 29 (50m 37b 5x4 0x6) SR: 78.37;
55.2;2;Cummins to Mulder, 2 runs;
55.1;?;Cummins to Mulder, no run;
54.6;?;Marsh to von Berg, no run;
54.5;?;Marsh to von Berg, no run;
54.4;?;Marsh to von Berg, no run;
54.3;W;Marsh to Muthusamy, OUT;Senuran Muthusamy c ?Paine b Marsh 36 (116m 86b 6x4 0x6) SR: 41.86;
54.2;1;Marsh to Mulder, 1 run;
54.1;4;Marsh to Mulder, FOUR runs;
23.6;?;Lyon to Zubayr Hamza, no run;
23.5;?;Lyon to Zubayr Hamza, no run;
23.4;?;Lyon to Zubayr Hamza, no run;
23.3;4;Lyon to Zubayr Hamza, FOUR runs;
23.2;?;Lyon to Zubayr Hamza, no run;
23.1;2;Lyon to Zubayr Hamza, 2 runs;
22.6;1;Starc to Zubayr Hamza, 1 run;
22.5;?;Starc to Zubayr Hamza, no run;
22.4;?;Starc to Zubayr Hamza, no run;
22.3;?;Starc to Zubayr Hamza, no run;
22.2;1;Starc to de Bruyn, 1 run;
22.1;3;Starc to Zubayr Hamza, 3 runs;
21.6;?;Lyon to de Bruyn, no run;
21.5;?;Lyon to de Bruyn, no run;
21.4;4;Lyon to de Bruyn, FOUR runs;
21.3;?;Lyon to de Bruyn, no run;
21.2;?;Lyon to de Bruyn, no run;
21.1;1;Lyon to Zubayr Hamza, 1 run;
20.6;2;Starc to de Bruyn, 2 runs;
20.5;1;Starc to Zubayr Hamza, 1 run;
20.4;?;Starc to Zubayr Hamza, no run;
20.3;1;Starc to de Bruyn, 1 run;
20.2;?;Starc to de Bruyn, no run;
20.1;1;Starc to Zubayr Hamza, 1 run;
19.6;?;Lyon to de Bruyn, no run;
19.5;4;Lyon to de Bruyn, FOUR runs;
19.4;1;Lyon to Zubayr Hamza, 1 run;
19.3;1;Lyon to de Bruyn, 1 run;
19.2;4;Lyon to de Bruyn, FOUR runs;
19.1;?;Lyon to de Bruyn, no run;
18.6;?;Starc to Zubayr Hamza, no run;
18.5;?;Starc to Zubayr Hamza, no run;
18.4;?;Starc to Zubayr Hamza, no run;
18.3;?;Starc to Zubayr Hamza, no run;
18.2;1;Starc to de Bruyn, 1 run;
18.1;?;Starc to de Bruyn, no run;
17.6;?;Lyon to Zubayr Hamza, no run;
17.5;?;Lyon to Zubayr Hamza, no run;
17.4;?;Lyon to Zubayr Hamza, no run;
17.3;?;Lyon to Zubayr Hamza, no run;
17.2;1;Lyon to de Bruyn, 1 run;
17.1;?;Lyon to de Bruyn, no run;
16.6;4;Marsh to Zubayr Hamza, FOUR runs;
16.5;?;Marsh to Zubayr Hamza, no run;
16.4;?;Marsh to Zubayr Hamza, no run;
16.3;4;Marsh to Zubayr Hamza, FOUR runs;
16.3;1nb;Marsh to Zubayr Hamza, (no ball);
16.2;?;Marsh to Zubayr Hamza, no run;
16.1;4;Marsh to Zubayr Hamza, FOUR runs;
15.6;?;Cummins to de Bruyn, no run;
15.5;4;Cummins to de Bruyn, FOUR runs;
15.4;?;Cummins to de Bruyn, no run;
15.3;1;Cummins to Zubayr Hamza, 1 run;
15.2;?;Cummins to Zubayr Hamza, no run;
15.1;?;Cummins to Zubayr Hamza, no run;
14.6;4;Marsh to de Bruyn, FOUR runs;
14.5;?;Marsh to de Bruyn, no run;
14.4;?;Marsh to de Bruyn, no run;
14.3;?;Marsh to de Bruyn, no run;
14.2;?;Marsh to de Bruyn, no run;
14.1;4;Marsh to de Bruyn, FOUR runs;
13.6;?;Cummins to Zubayr Hamza, no run;
13.5;?;Cummins to Zubayr Hamza, no run;
13.4;2;Cummins to Zubayr Hamza, 2 runs;
13.3;1;Cummins to de Bruyn, 1 run;
13.2;?;Cummins to de Bruyn, no run;
13.1;?;Cummins to de Bruyn, no run;
12.6;?;Marsh to Zubayr Hamza, no run;
12.5;?;Marsh to Zubayr Hamza, no run;
12.4;?;Marsh to Zubayr Hamza, no run;
12.3;4;Marsh to Zubayr Hamza, FOUR runs;
12.2;?;Marsh to Zubayr Hamza, no run;
12.1;?;Marsh to Zubayr Hamza, no run;
11.6;W;Cummins to Malan, OUT;Pieter Malan c Handscomb b Cummins 8 (53m 34b 1x4 0x6) SR: 23.52;
11.5;?;Cummins to Malan, no run;
11.5;1w;Cummins to Malan, 1 wide;
11.4;2;Cummins to Malan, 2 runs;
11.3;?;Cummins to Malan, no run;
11.2;1;Cummins to Zubayr Hamza, 1 run;
11.1;?;Cummins to Zubayr Hamza, no run;
10.6;?;Marsh to Malan, no run;
10.5;?;Marsh to Malan, no run;
10.4;2;Marsh to Malan, 2 runs;
10.3;?;Marsh to Malan, no run;
10.2;?;Marsh to Malan, no run;
10.1;?;Marsh to Malan, no run;
9.6;?;Cummins to Zubayr Hamza, no run;
9.5;?;Cummins to Zubayr Hamza, no run;
9.4;?;Cummins to Zubayr Hamza, no run;
9.3;?;Cummins to Zubayr Hamza, no run;
9.2;?;Cummins to Zubayr Hamza, no run;
9.1;?;Cummins to Zubayr Hamza, no run;
8.6;?;Starc to Malan, no run;
8.5;?;Starc to Malan, no run;
8.4;?;Starc to Malan, no run;
8.3;?;Starc to Malan, no run;
8.2;?;Starc to Malan, no run;
8.1;?;Starc to Malan, no run;
7.6;?;Hazlewood to Zubayr Hamza, no run;
7.5;?;Hazlewood to Zubayr Hamza, no run;
7.4;?;Hazlewood to Zubayr Hamza, no run;
7.3;?;Hazlewood to Zubayr Hamza, no run;
7.2;?;Hazlewood to Zubayr Hamza, no run;
7.1;4;Hazlewood to Zubayr Hamza, FOUR runs;
6.6;?;Starc to Malan, no run;
6.5;?;Starc to Malan, no run;
6.4;4;Starc to Malan, FOUR runs;
6.3;?;Starc to Malan, no run;
6.2;?;Starc to Malan, no run;
6.1;4lb;Starc to Malan, 4 leg byes;
5.6;?;Hazlewood to Zubayr Hamza, no run;
5.5;?;Hazlewood to Zubayr Hamza, no run;
5.4;?;Hazlewood to Zubayr Hamza, no run;
5.3;?;Hazlewood to Zubayr Hamza, no run;
5.2;?;Hazlewood to Zubayr Hamza, no run;
5.1;?;Hazlewood to Zubayr Hamza, no run;
4.6;?;Starc to Malan, no run;
4.5;?;Starc to Malan, no run;
4.4;?;Starc to Malan, no run;
4.3;?;Starc to Malan, no run;
4.2;?;Starc to Malan, no run;
4.1;?;Starc to Malan, no run;
3.6;?;Hazlewood to Zubayr Hamza, no run;
3.5;?;Hazlewood to Zubayr Hamza, no run;
3.4;?;Hazlewood to Zubayr Hamza, no run;
3.3;?;Hazlewood to Zubayr Hamza, no run;
3.2;?;Hazlewood to Zubayr Hamza, no run;
3.1;?;Hazlewood to Zubayr Hamza, no run;
2.6;?;Starc to Malan, no run;
2.5;?;Starc to Malan, no run;
2.4;?;Starc to Malan, no run;
2.3;?;Starc to Malan, no run;
2.2;?;Starc to Malan, no run;
2.1;?;Starc to Malan, no run;
1.6;?;Hazlewood to Zubayr Hamza, no run;
1.5;?;Hazlewood to Zubayr Hamza, no run;
1.4;?;Hazlewood to Zubayr Hamza, no run;
1.3;?;Hazlewood to Zubayr Hamza, no run;
1.2;4b;Hazlewood to Zubayr Hamza, 4 byes;
1.1;?;Hazlewood to Zubayr Hamza, no run;
0.6;3;Starc to Zubayr Hamza, 3 runs;
0.5;?;Starc to Zubayr Hamza, no run;
0.4;?;Starc to Zubayr Hamza, no run;
0.3;?;Starc to Zubayr Hamza, no run;
0.2;?;Starc to Zubayr Hamza, no run;
0.1;?;Starc to Zubayr Hamza, no run;

Match State: Drinks
 Innings Start
Match State: Tea - Day 2
90.4;W;Hendricks to Hazlewood, OUT;Josh Hazlewood b Hendricks 26 (37m 32b 6x4 0x6) SR: 81.25;
90.3;?;Hendricks to Hazlewood, no run;
90.2;1;Hendricks to Cummins, 1 run;
90.1;?;Hendricks to Cummins, no run;
89.6;?;von Berg to Hazlewood, no run;
89.5;1;von Berg to Cummins, 1 run;
89.4;1;von Berg to Hazlewood, 1 run;
89.3;1;von Berg to Cummins, 1 run;
89.2;?;von Berg to Cummins, no run;
89.1;2;von Berg to Cummins, 2 runs;
88.6;4;Hendricks to Hazlewood, FOUR runs;
88.5;1;Hendricks to Cummins, 1 run;
88.4;?;Hendricks to Cummins, no run;
88.3;?;Hendricks to Cummins, no run;
88.2;4;Hendricks to Cummins, FOUR runs;
88.1;?;Hendricks to Cummins, no run;
87.6;?;Siboto to Hazlewood, no run;
87.5;4;Siboto to Hazlewood, FOUR runs;
87.4;?;Siboto to Hazlewood, no run;
87.3;?;Siboto to Hazlewood, no run;
87.2;1;Siboto to Cummins, 1 run;
87.1;?;Siboto to Cummins, no run;
86.6;?;Hendricks to Hazlewood, no run;
86.5;?;Hendricks to Hazlewood, no run;
86.4;?;Hendricks to Hazlewood, no run;
86.3;?;Hendricks to Hazlewood, no run;
86.2;4;Hendricks to Hazlewood, FOUR runs;
86.1;?;Hendricks to Hazlewood, no run;
85.6;?;Siboto to Cummins, no run;
85.5;1;Siboto to Hazlewood, 1 run;
85.4;4;Siboto to Hazlewood, FOUR runs;
85.3;1;Siboto to Cummins, 1 run;
85.2;?;Siboto to Cummins, no run;
85.1;?;Siboto to Cummins, no run;
84.6;?;Hendricks to Hazlewood, no run;
84.5;?;Hendricks to Hazlewood, no run;
84.4;?;Hendricks to Hazlewood, no run;
84.3;?;Hendricks to Hazlewood, no run;
84.2;?;Hendricks to Hazlewood, no run;
84.1;1lb;Hendricks to Cummins, 1 leg bye;
83.6;?;Siboto to Hazlewood, no run;
83.5;?;Siboto to Hazlewood, no run;
83.4;?;Siboto to Hazlewood, no run;
83.3;4;Siboto to Hazlewood, FOUR runs;
83.2;?;Siboto to Hazlewood, no run;
83.1;1;Siboto to Cummins, 1 run;
82.6;?;Hendricks to Hazlewood, no run;
82.5;?;Hendricks to Hazlewood, no run;
82.4;4;Hendricks to Hazlewood, FOUR runs;
82.3;?;Hendricks to Hazlewood, no run;
82.2;?;Hendricks to Hazlewood, no run;
82.1;W;Hendricks to Lyon, OUT;Nathan Lyon c Zubayr Hamza b Hendricks 38 (43m 34b 3x4 2x6) SR: 111.76;
81.6;?;Siboto to Cummins, no run;
81.5;?;Siboto to Cummins, no run;
81.4;?;Siboto to Cummins, no run;
81.3;?;Siboto to Cummins, no run;
81.2;?;Siboto to Cummins, no run;
81.1;4b;Siboto to Cummins, 4 byes;
80.6;4;Hendricks to Lyon, FOUR runs;
80.5;?;Hendricks to Lyon, no run;
80.4;?;Hendricks to Lyon, no run;
80.3;?;Hendricks to Lyon, no run;
80.2;?;Hendricks to Lyon, no run;
80.1;?;Hendricks to Lyon, no run;
79.6;?;Muthusamy to Cummins, no run;
79.5;?;Muthusamy to Cummins, no run;
79.4;4;Muthusamy to Cummins, FOUR runs;
79.3;?;Muthusamy to Cummins, no run;
79.2;?;Muthusamy to Cummins, no run;
79.1;?;Muthusamy to Cummins, no run;
78.6;?;von Berg to Lyon, no run;
78.5;6;von Berg to Lyon, SIX runs;
78.4;1;von Berg to Cummins, 1 run;
78.3;1;von Berg to Lyon, 1 run;
78.2;1;von Berg to Cummins, 1 run;
78.1;1;von Berg to Lyon, 1 run;
77.6;?;Muthusamy to Cummins, no run;
77.5;1;Muthusamy to Lyon, 1 run;
77.4;2;Muthusamy to Lyon, 2 runs;
77.3;?;Muthusamy to Lyon, no run;
77.2;1lb;Muthusamy to Cummins, 1 leg bye;
77.1;1;Muthusamy to Lyon, 1 run;
76.6;?;von Berg to Cummins, no run;
76.5;?;von Berg to Cummins, no run;
76.4;?;von Berg to Cummins, no run;
76.3;?;von Berg to Cummins, no run;
76.2;?;von Berg to Cummins, no run;
76.1;1;von Berg to Lyon, 1 run;
75.6;1;Muthusamy to Lyon, 1 run;
75.5;1;Muthusamy to Cummins, 1 run;
75.4;1;Muthusamy to Lyon, 1 run;
75.3;?;Muthusamy to Lyon, no run;
75.2;4;Muthusamy to Lyon, FOUR runs;
75.1;2;Muthusamy to Lyon, 2 runs;
74.6;?;von Berg to Cummins, no run;
74.5;1;von Berg to Lyon, 1 run;
74.4;6;von Berg to Lyon, SIX runs;
74.3;1;von Berg to Cummins, 1 run;
74.2;4;von Berg to Cummins, FOUR runs;
74.1;4;von Berg to Cummins, FOUR runs;
73.6;?;Muthusamy to Lyon, no run;
73.5;?;Muthusamy to Lyon, no run;
73.4;1;Muthusamy to Cummins, 1 run;
73.3;?;Muthusamy to Cummins, no run;
73.2;1;Muthusamy to Lyon, 1 run;
73.1;?;Muthusamy to Lyon, no run;
72.6;?;von Berg to Cummins, no run;
72.5;?;von Berg to Cummins, no run;
72.4;?;von Berg to Cummins, no run;
72.3;1;von Berg to Lyon, 1 run;
72.2;?;von Berg to Lyon, no run;
72.1;?;von Berg to Lyon, no run;
71.6;?;Mulder to Cummins, no run;
71.5;?;Mulder to Cummins, no run;
71.4;?;Mulder to Cummins, no run;
71.3;?;Mulder to Cummins, no run;
71.2;4;Mulder to Cummins, FOUR runs;
71.1;?;Mulder to Cummins, no run;
70.6;?;von Berg to Lyon, no run;
70.5;4;von Berg to Lyon, FOUR runs;
70.4;?;von Berg to Lyon, no run;
70.3;?;von Berg to Lyon, no run;
70.2;W;von Berg to Starc, OUT;Mitchell Starc c de Bruyn b von Berg 18 (51m 34b 3x4 0x6) SR: 52.94;
