Data
49.6;2;Jordan to Tye, 2 runs;
49.5;6;Jordan to Tye, SIX runs;
49.4;1;Jordan to Kane Richardson, 1 run;
49.3;1;Jordan to Tye, 1 run;
49.2;2;Jordan to Tye, 2 runs;
49.1;1;Jordan to Kane Richardson, 1 run;
48.6;W;Archer to Jhye Richardson, OUT;Jhye Richardson c Wells b Archer 11 (13m 10b 2x4 0x6) SR: 110;
48.5;1;Archer to Tye, 1 run;
48.4;1;Archer to Jhye Richardson, 1 run;
48.3;4;Archer to Jhye Richardson, FOUR runs;
48.2;4;Archer to Jhye Richardson, FOUR runs;
48.1;?;Archer to Jhye Richardson, no run;
39.6;1;Wells to Stoinis, 1 run;
39.5;2;Wells to Stoinis, 2 runs;
39.4;?;Wells to Stoinis, no run;
39.3;?;Wells to Stoinis, no run;
39.2;1;Wells to Agar, 1 run;
39.1;?;Wells to Agar, no run;
38.6;?;Briggs to Stoinis, no run;
38.5;1;Briggs to Agar, 1 run;
38.4;4;Briggs to Agar, FOUR runs;
38.3;?;Briggs to Agar, no run;
38.2;?;Briggs to Agar, no run;
38.1;1;Briggs to Stoinis, 1 run;
47.6;1;Jordan to Jhye Richardson, 1 run;
47.5;?;Jordan to Jhye Richardson, no run;
47.4;1lb;Jordan to Tye, 1 leg bye;
47.3;?;Jordan to Tye, no run;
47.2;?;Jordan to Tye, no run;
47.1;?;Jordan to Tye, no run;
46.6;?;Archer to Jhye Richardson, no run;
46.5;?;Archer to Jhye Richardson, no run;
46.4;1;Archer to Tye, 1 run;
46.3;1;Archer to Jhye Richardson, 1 run;
46.2;W;Archer to Stoinis, OUT;Marcus Stoinis c Evans b Archer 110 (145m 112b 9x4 4x6) SR: 98.21;
46.1;?;Archer to Stoinis, no run;
37.6;?;Wells to Agar, no run;
37.5;?;Wells to Agar, no run;
37.4;1;Wells to Stoinis, 1 run;
37.3;1;Wells to Agar, 1 run;
37.2;1;Wells to Stoinis, 1 run;
37.1;4;Wells to Stoinis, FOUR runs;
36.6;1;Briggs to Stoinis, 1 run;
36.5;?;Briggs to Stoinis, no run;
36.4;6;Briggs to Stoinis, SIX runs;
36.3;1;Briggs to Agar, 1 run;
36.2;?;Briggs to Agar, no run;
36.1;1;Briggs to Stoinis, 1 run;
35.6;1;Wells to Stoinis, 1 run;
35.5;?;Wells to Stoinis, no run;
35.4;1;Wells to Agar, 1 run;
35.3;W;Wells to Paine, OUT;Tim Paine c & b Wells 2 (9m 6b 0x4 0x6) SR: 33.33;
35.2;1;Wells to Stoinis, 1 run;
35.1;?;Wells to Stoinis, no run;
34.6;1;Briggs to Stoinis, 1 run;
34.5;1;Briggs to Paine, 1 run;
34.4;1;Briggs to Stoinis, 1 run;
34.3;?;Briggs to Stoinis, no run;
34.2;1;Briggs to Paine, 1 run;
34.1;1;Briggs to Stoinis, 1 run;
33.6;?;Wells to Paine, no run;
33.5;?;Wells to Paine, no run;
33.4;?;Wells to Paine, no run;
33.3;1;Wells to Stoinis, 1 run;
33.2;?;Wells to Stoinis, no run;
33.1;?;Wells to Stoinis, no run;
32.6;W;Briggs to Head, OUT;Travis Head lbw b Briggs 2 (5m 6b 0x4 0x6) SR: 33.33;
32.5;1;Briggs to Stoinis, 1 run;
32.4;?;Briggs to Stoinis, no run;
32.3;1;Briggs to Head, 1 run;
32.2;?;Briggs to Head, no run;
32.1;?;Briggs to Head, no run;
31.6;1;Wells to Head, 1 run;
31.5;?;Wells to Head, no run;
31.4;W;Wells to Maxwell, OUT;Glenn Maxwell c Evans b Wells 1 (6m 2b 0x4 0x6) SR: 50;
31.3;1;Wells to Stoinis, 1 run;
31.2;?;Wells to Stoinis, no run;
31.1;?;Wells to Stoinis, no run;
30.6;1;Archer to Stoinis, 1 run;
30.5;?;Archer to Stoinis, no run;
30.4;?;Archer to Stoinis, no run;
30.3;1;Archer to Maxwell, 1 run;
30.2;W;Archer to Finch, OUT;Aaron Finch c ?Brown b Archer 78 (121m 97b 9x4 1x6) SR: 80.41;
30.1;?;Archer to Finch, no run;
