Data
Match State: Innings Break
57.2;W;O'Keefe to Fernando, OUT;Dilhara Fernando c Smith b O'Keefe 1 (7b 0x4 0x6) SR: 14.28;
57.1;?;O'Keefe to Fernando, no run;
56.6;?;Starc to Perera, no run;
56.5;4;Starc to Perera, FOUR runs;
56.4;?;Starc to Perera, no run;
56.3;?;Starc to Perera, no run;
56.2;1lb;Starc to Fernando, 1 leg bye;
56.1;?;Starc to Fernando, no run;
55.6;?;O'Keefe to Perera, no run;
55.5;?;O'Keefe to Perera, no run;
55.4;1;O'Keefe to Fernando, 1 run;
55.3;?;O'Keefe to Fernando, no run;
55.2;?;O'Keefe to Fernando, no run;
55.1;W;O'Keefe to Shanaka, OUT;Dasun Shanaka c Smith b O'Keefe 39 (54b 3x4 2x6) SR: 72.22;
54.6;W;Starc to Gamage, OUT;Nisala Tharaka b Starc 0 (1b 0x4 0x6) SR: 0;
54.5;3;Starc to Shanaka, 3 runs;
54.4;?;Starc to Shanaka, no run;
54.3;?;Starc to Shanaka, no run;
54.2;?;Starc to Shanaka, no run;
54.1;?;Starc to Shanaka, no run;
17.6;?;Lyon to Siriwardana, no run;
17.5;?;Lyon to Siriwardana, no run;
17.4;?;Lyon to Siriwardana, no run;
17.3;?;Lyon to Siriwardana, no run;
17.2;?;Lyon to Siriwardana, no run;
17.1;2;Lyon to Siriwardana, 2 runs;
16.6;?;Starc to Gunaratne, no run;
16.5;?;Starc to Gunaratne, no run;
16.4;?;Starc to Gunaratne, no run;
16.3;?;Starc to Gunaratne, no run;
16.2;?;Starc to Gunaratne, no run;
16.1;?;Starc to Gunaratne, no run;
53.6;W;O'Keefe to de Silva, OUT;Chaturanga de Silva c & b O'Keefe 49 (59b 10x4 0x6) SR: 83.05;
53.5;1;O'Keefe to Shanaka, 1 run;
53.4;?;O'Keefe to Shanaka, no run;
53.3;?;O'Keefe to Shanaka, no run;
53.2;?;O'Keefe to Shanaka, no run;
53.1;?;O'Keefe to Shanaka, no run;
52.6;?;Starc to de Silva, no run;
52.5;?;Starc to de Silva, no run;
52.4;?;Starc to de Silva, no run;
52.3;?;Starc to de Silva, no run;
52.2;?;Starc to de Silva, no run;
52.1;?;Starc to de Silva, no run;
15.6;?;Lyon to Siriwardana, no run;
15.5;?;Lyon to Siriwardana, no run;
15.4;?;Lyon to Siriwardana, no run;
15.3;?;Lyon to Siriwardana, no run;
15.2;?;Lyon to Siriwardana, no run;
15.1;1;Lyon to Gunaratne, 1 run;
14.6;4;Marsh to Siriwardana, FOUR runs;
14.5;?;Marsh to Siriwardana, no run;
14.4;?;Marsh to Siriwardana, no run;
14.3;?;Marsh to Siriwardana, no run;
14.2;4;Marsh to Siriwardana, FOUR runs;
14.1;?;Marsh to Siriwardana, no run;
13.6;1;Lyon to Siriwardana, 1 run;
13.5;?;Lyon to Siriwardana, no run;
13.4;?;Lyon to Siriwardana, no run;
13.3;1;Lyon to Gunaratne, 1 run;
13.2;?;Lyon to Gunaratne, no run;
13.1;4;Lyon to Gunaratne, FOUR runs;
12.6;?;Marsh to Siriwardana, no run;
12.5;1;Marsh to Gunaratne, 1 run;
12.4;4;Marsh to Gunaratne, FOUR runs;
12.3;?;Marsh to Gunaratne, no run;
12.2;?;Marsh to Gunaratne, no run;
12.1;4;Marsh to Gunaratne, FOUR runs;
11.6;?;Lyon to Siriwardana, no run;
