Data
Chanderpaul and Gayle stroll, casually, out into the middle. No rush. Smallish crowd so far, just a sprinkling around the ground, but it will no doubt fill up quickly...and very quickly if (Chris) Gayle Force blows in.
Here come Australia, jogging out into the middle under a pleasingly cloud-free sky. We're in for a cracker here today. Just waiting for the two West Indian openers now...
Right, chaps. Thanks to all the UK readers who've written to say the GMT time is wrong. Actually, it's right - we're now on BST (British Summer Time) which is a different thing. 14.20BST is 13.20GMT. As you were.
Bob Willis is looking decidedly pink on television. He hasn't quite perfected David Gower's uber-smooth "I was born to present cricket from the beach" look. Mind you, he really has mastered that particular art.
"Tait and Bracken will blow the Windies away," roars the alliteratively named Big Brummie Bob. "Nice damp track, ball swinging around at 95mph - too much for the hosts I am afraid. West Indies less than 100 all out..." Fierce comments. We're ten minutes away from starting, barring a sudden monsoon, so hang around.
08.50
Good morning, g'afternoon and good evening to all. Jamie's fallen off his perch, so it'll me, Will Luke, and Jenny Thompson to take you through today's match (half of it, anyway). We're very excited and trust you are too. The good news is the rain has, at last, relented; in the words of our esteemed editor, Andrew Miller, "blue skies and fluffiness abound". We'll have more erudite observations from him, and us, shortly.
Rain delays play. Stumps
So thats all for today, folks. I shall be back with the action for you tomorrow at 13:30 GMT. Until then, good night/evening/afternoon/morning to all of you who've logged on, wherever you may be. Cheers!
16:01 local, 20:01 GMT Play has been postponed until tomorrow. The target for West Indies will indeed be 323 from 50 overs. Thats because Australia played out a full 50 overs.
15:53 local, 19:53 GMT Bad news, the drizzle is back and the covers are going back on. That should be that for the day. Just 32 minutes till the cut-off time.
15:45 local, 19:45 GMT Okay, I have news for all of you. The target, for West Indies, has been set as 163 from 20 overs. Hmmm...the only question remains the start time. Thats not been confirmed. I doubt they'll get 20 overs in. The Aussies are on the outfield getting ready, so something is happening...
15:41 local, 19:41 GMT Whats this? The covers are coming off...will they have a go at this? A little smashathon? I'll feed you details as they come in...
Did Omair's poetry have anything to do with this?
Andrew: "It's very humid out there, but the mizzle does seem to have stopped. Pretty dark too, but then that's been the case all day."
Let me remind you that you can now watch an animated representation of our commentary on Cricinfo 3D. It uses all our scoring data to render a 3d representation of the game, with various camera angles for you to play around with, and it has features such as wagon wheels, pitch maps, and the live scorecard. There are also replays after every wicket and boundary on demand, as well as celebrations for wickets. Oh, and it's free. Click away.
15:34 local, 19:34 GMT Andrew and his posse at the ground reckon the latest restart has to be 4.25pm local, for a 20-over slog. Interesting.
15:22 local, 19:22 GMT Andrew again: "The groundstaff are loitering but to no great avail. I think we're going to have to conclude this one tomorrow. The latest we can play is until 5.45pm local, according to those in the know. It's currently 3.20pm. And with 20 overs required to constitute a game, they'll need to get started within the hour."
Definitely not good news for the fans out there right now. That means, probably, that if there's no play today, West Indies will still chase 323 with a full 50 overs tomorrow. And thats only if a calculation has been made that they stick to that.
As we kill time, here's a little ditty from one of our readers, Omair Shamim, who picked up on - nay, was inspired by - Andrew's update:
"Its really a crapy mizzle
Its barely even a drizzle
But there is so much water on the covers
There is not point to "muscle"
Still a generous crowd waiting
Just for umpire to give whistle"
See what free time can do to a man? Can we get the game going please...
14:53 local, 18:53 GMT Andrew Miller, from the ground, buzzes: "It's a really crappy mizzle. It's barely even raining, but with so much water already on the covers there's no point in trying to mop up. Still a generous crowd waiting patiently on the grass banks though." Well, there you have it.
14:33 local, 18:33 GMT Theres no let-up. The covers remain on the square. Players still inside.
13:59 local, 17:59 GMT The rain has returned, and the waiting game begins. Watch this space for further updates. I cannot give you an idea as to how long play will be suspended. Its a drizzle.
Please do have a look at our guide to the Super Eights. It will help clarify alot of the questions that are coming in.
Riding on Matthew Hayden's excellent hundred, Australia have posted a big total, their fourth in a row in excess of 300 in the tournament. A great effort. Ponting, Clarke and Watson chipped in with cameos and West Indies have a tough ask ahead of them. This brand new surface has been ideal for batting, and there are some clean strikers of the ball to come.
We will have a shortened lunch break due to the overs lost in the rain interval. Dont go anywhere. We'll be back shortly for the second innings.
49.6;4;Bravo to Watson, FOUR runs and he ends off in style! Bravo goes wide with the slower ball, Watson hangs on it and drives on the up between cover and point, and thats four to take Australia to 322 for six!;
49.5;1b;Bravo to Hogg, 1 bye slower one again, just outside off stump, Hogg goes down as he heaves across the line, misses and Watson calls for the run, a direct hit comes in but he's safely home;
49.4;1;Bravo to Watson, 1 run low full toss on the stumps, swatted out to wide long-on for just the single;
49.3;4;Bravo to Watson, FOUR runs shot! Overpitched outside off stump, Watson gets down on bended knee and drives in the off side gap for four;
49.2;4;Bravo to Watson, FOUR runs another attempted yorker turns out a slow full toss on off stump, Watson waits for it and slams it over midwicket for four;
49.2;1w;Bravo to Watson, 1 wide full down leg side, wide called;
49.1;?;Bravo to Watson, no run lovely one, really slow on a length outside off stump, Watson has to wait ages for it and then slashes at it, the ball takes the edge and drops before Ramdin;
48.6;1lb;Collymore to Watson, 1 leg bye full outside off stump, Watson comes well outside the line in an attempt to paddle it fine, the ball hits him on the full and he steals a leg-bye in front of point;
48.5;1;Collymore to Hogg, 1 run well bowled, yorker in the zone, Hogg gets bat on it and squeezes one into the covers;
48.4;2;Collymore to Hogg, 2 runs yorker ends up a low full toss on the stumps, Hogg drives through cover out to the sweeper and picks up two more;
48.3;2;Collymore to Hogg, 2 runs dropped in short, Hogg chops that past backward point out to Bravo in the deep for a couple;
48.2;?;Collymore to Hogg, no run back of a length outside off stump, Hogg backs away and looks to flay it through the off side but connects with air;
48.1;1;Collymore to Watson, 1 run low full toss outside off stump, Watson flashes and gets a thick edge down to third man for one;
41.6;?;Samuels to Hayden, no run another yorker outside off stump, Hayden drives back to Samuels;
41.5;1;Samuels to Watson, 1 run tossed up, Watson comes and takes it on the full and flicks across the line but right to Sarwan at square leg;
41.4;1;Samuels to Hayden, 1 run flat, yorker-length ball outside off stump, Hayden jams the bat down and steers it to backward point;
41.3;1;Samuels to Watson, 1 run tossed up on off stump, Watson gets forward and plays across the line to pick up one into midwicket;
41.2;1;Samuels to Hayden, 1 run flat on middle and leg, driven to mid-on for one;
41.1;?;Samuels to Hayden, no run tossed up, Hayden gets to the pitch and drives into the covers, where Lara fields;
40.6;?;Powell to Watson, no run back of a length on off stump, Watson gets his head down and defends back to Powell, who finishes a pretty decent spell given the occasion and situation;
40.5;W;Powell to Hussey, OUT bowled 'em! Hussey reaches out to drive a very full delivery and ends up dragging it back onto off stump! A tame dismissal and Powell's gotten a second in his final over!;Michael Hussey b Powell 9 (20m 18b 1x4 0x6) SR: 50;
40.4;2;Powell to Hussey, 2 runs good length outside off stump, Hussey square-drives wide of square and knows theres two for the taking from the word go;
40.3;1;Powell to Hayden, 1 run fuller one in the blockhole, Hayden flicks across the stumps for one to square leg;
40.2;4;Powell to Hayden, FOUR runs close! Hayden steps out and lofts one down to long-on, where Sarwan misjudges it as he comes in from the ropes, and the ball just evades his outstretched arms for four!;
40.1;4;Powell to Hayden, FOUR runs he makes room and lifts a fuller one just over mid-off for four, shot!;
47.6;1;Bravo to Watson, 1 run full in the zone, well bowled, Watson can only dig it out to mid-on for the single;
47.5;1lb;Bravo to Hogg, 1 leg bye full down leg, Hoggs already taken guard well outside leg stump and cant work it away, ends up with a leg-bye to square leg;
