Data
90.4;W;Cummins to Gleeson, OUT;Richard Gleeson lbw b Cummins 6 (30m 25b 1x4 0x6) SR: 24;
90.3;?;Cummins to Gleeson, no run;
90.2;?;Cummins to Gleeson, no run;
90.1;?;Cummins to Gleeson, no run;
89.6;4;Watson to Crook, FOUR runs;
89.5;1;Watson to Gleeson, 1 run;
89.4;?;Watson to Gleeson, no run;
89.3;?;Watson to Gleeson, no run;
89.2;1;Watson to Crook, 1 run;
89.1;?;Watson to Crook, no run;
88.6;?;Lyon to Gleeson, no run;
88.5;?;Lyon to Gleeson, no run;
88.4;?;Lyon to Gleeson, no run;
88.3;?;Lyon to Gleeson, no run;
88.2;?;Lyon to Gleeson, no run;
88.1;?;Lyon to Gleeson, no run;
85.6;?;Marsh to Gleeson, no run;
85.5;?;Marsh to Gleeson, no run;
85.4;?;Marsh to Gleeson, no run;
85.3;?;Marsh to Gleeson, no run;
85.2;4;Marsh to Gleeson, FOUR runs;
85.1;?;Marsh to Gleeson, no run;
84.6;?;Cummins to Crook, no run;
84.5;?;Cummins to Crook, no run;
84.4;4;Cummins to Crook, FOUR runs;
84.3;1lb;Cummins to Gleeson, 1 leg bye;
84.2;?;Cummins to Gleeson, no run;
84.1;?;Cummins to Gleeson, no run;
87.6;1;Watson to Gleeson, 1 run;
87.5;?;Watson to Gleeson, no run;
87.4;1;Watson to Crook, 1 run;
87.3;?;Watson to Crook, no run;
87.2;4;Watson to Crook, FOUR runs;
87.1;?;Watson to Crook, no run;
86.6;?;Lyon to Gleeson, no run;
86.5;1;Lyon to Crook, 1 run;
86.4;6;Lyon to Crook, SIX runs;
86.3;6;Lyon to Crook, SIX runs;
86.2;?;Lyon to Crook, no run;
86.1;?;Lyon to Crook, no run;
83.6;6;Marsh to Crook, SIX runs;
83.5;4;Marsh to Crook, FOUR runs;
83.4;4;Marsh to Crook, FOUR runs;
83.3;?;Marsh to Crook, no run;
83.2;4;Marsh to Crook, FOUR runs;
83.1;?;Marsh to Crook, no run;
82.6;W;Cummins to Chambers, OUT;Maurice Chambers b Cummins 0 (5m 4b 0x4 0x6) SR: 0;
82.5;4lb;Cummins to Chambers, 4 leg byes;
82.4;?;Cummins to Chambers, no run;
82.3;?;Cummins to Chambers, no run;
82.2;1;Cummins to Crook, 1 run;
82.1;2;Cummins to Crook, 2 runs;
81.6;W;Marsh to Sanderson, OUT;Ben Sanderson c Smith b Marsh 3 (38m 16b 0x4 0x6) SR: 18.75;
81.5;?;Marsh to Sanderson, no run;
81.4;1;Marsh to Crook, 1 run;
81.3;2;Marsh to Crook, 2 runs;
81.2;?;Marsh to Crook, no run;
81.1;1lb;Marsh to Sanderson, 1 leg bye;
80.6;?;Siddle to Crook, no run;
80.5;4;Siddle to Crook, FOUR runs;
80.4;4;Siddle to Crook, FOUR runs;
80.3;4;Siddle to Crook, FOUR runs;
80.2;?;Siddle to Crook, no run;
80.1;4b;Siddle to Crook, 4 byes;
79.6;1;Marsh to Crook, 1 run;
79.5;?;Marsh to Crook, no run;
79.4;4;Marsh to Crook, FOUR runs;
79.3;4;Marsh to Crook, FOUR runs;
79.2;?;Marsh to Crook, no run;
79.1;1;Marsh to Sanderson, 1 run;
78.6;?;Fawad to Crook, no run;
78.5;?;Fawad to Crook, no run;
78.4;4;Fawad to Crook, FOUR runs;
78.3;?;Fawad to Crook, no run;
78.2;4;Fawad to Crook, FOUR runs;
78.1;?;Fawad to Crook, no run;
77.6;?;Marsh to Sanderson, no run;
77.5;1;Marsh to Crook, 1 run;
77.4;?;Marsh to Crook, no run;
77.3;?;Marsh to Crook, no run;
