Data
49.6;W;Topley to Cummins, OUT;Pat Cummins c Cook b Topley 2 (3m 3b 0x4 0x6) SR: 66.66;
49.5;1lb;Topley to McKay, 1 leg bye;
49.4;1;Topley to Cummins, 1 run;
49.3;1;Topley to McKay, 1 run;
49.2;1;Topley to Cummins, 1 run;
49.1;W;Topley to Lee, OUT;Brett Lee b Topley 14 (20m 13b 1x4 1x6) SR: 107.69;
48.6;?;Napier to McKay, no run;
48.5;1;Napier to Lee, 1 run;
48.4;6;Napier to Lee, SIX runs;
48.3;W;Napier to Wade, OUT;Matthew Wade c ?Foster b Napier 47 (45m 43b 4x4 1x6) SR: 109.3;
48.2;1;Napier to Lee, 1 run;
48.1;4;Napier to Lee, FOUR runs;
29.6;?;Smith to Clarke, no run;
29.5;1;Smith to Hussey, 1 run;
29.4;1;Smith to Clarke, 1 run;
29.3;1;Smith to Hussey, 1 run;
29.2;1;Smith to Clarke, 1 run;
29.1;?;Smith to Clarke, no run;
28.6;1;Ryan ten Doeschate to Clarke, 1 run;
28.5;?;Ryan ten Doeschate to Clarke, no run;
28.4;4;Ryan ten Doeschate to Clarke, FOUR runs;
28.3;4;Ryan ten Doeschate to Clarke, FOUR runs;
28.2;1;Ryan ten Doeschate to Hussey, 1 run;
28.1;2;Ryan ten Doeschate to Hussey, 2 runs;
47.6;2;Smith to Wade, 2 runs;
47.5;2;Smith to Wade, 2 runs;
47.4;?;Smith to Wade, no run;
47.3;4;Smith to Wade, FOUR runs;
47.2;4;Smith to Wade, FOUR runs;
47.1;6;Smith to Wade, SIX runs;
46.6;1;Napier to Wade, 1 run;
46.5;4;Napier to Wade, FOUR runs;
46.4;1;Napier to Lee, 1 run;
46.3;?;Napier to Lee, no run;
46.2;?;Napier to Lee, no run;
46.1;1;Napier to Wade, 1 run;
27.6;1;Phillips to Hussey, 1 run;
27.5;1;Phillips to Clarke, 1 run;
27.4;?;Phillips to Clarke, no run;
27.3;1;Phillips to Hussey, 1 run;
27.2;?;Phillips to Hussey, no run;
27.1;4;Phillips to Hussey, FOUR runs;
26.6;?;Ryan ten Doeschate to Clarke, no run;
26.5;1;Ryan ten Doeschate to Hussey, 1 run;
26.4;2;Ryan ten Doeschate to Hussey, 2 runs;
26.3;?;Ryan ten Doeschate to Hussey, no run;
26.2;?;Ryan ten Doeschate to Hussey, no run;
26.1;1;Ryan ten Doeschate to Clarke, 1 run;
25.6;1;Phillips to Clarke, 1 run;
25.5;?;Phillips to Clarke, no run;
25.4;?;Phillips to Clarke, no run;
25.3;1;Phillips to Hussey, 1 run;
25.2;?;Phillips to Hussey, no run;
25.1;1;Phillips to Clarke, 1 run;
24.6;?;Ryan ten Doeschate to Hussey, no run;
24.5;?;Ryan ten Doeschate to Hussey, no run;
24.4;4;Ryan ten Doeschate to Hussey, FOUR runs;
24.3;1;Ryan ten Doeschate to Clarke, 1 run;
24.2;1;Ryan ten Doeschate to Hussey, 1 run;
