Data
Match State: Innings Break
19.6;1b;Johnson to Chigumbura, 1 bye;
19.5;1;Johnson to Chibhabha, 1 run;
19.4;W;Johnson to Taibu, OUT;Tatenda Taibu undefined null (nullb nullx4 nullx6) SR: 0;
19.3;1b;Johnson to Chigumbura, 1 bye;
19.3;4w;Johnson to Taibu, 4 wide;
19.2;?;Johnson to Taibu, no run;
19.1;1;Johnson to Chigumbura, 1 run;
18.6;1;Lee to Chigumbura, 1 run;
18.5;?;Lee to Chigumbura, no run;
18.4;?;Lee to Chigumbura, no run;
18.3;2;Lee to Chigumbura, 2 runs;
18.2;1;Lee to Taibu, 1 run;
18.1;?;Lee to Taibu, no run;
17.6;?;Johnson to Chigumbura, no run;
17.5;1;Johnson to Taibu, 1 run;
17.4;W;Johnson to Ervine, OUT;Craig Ervine c Watson b Johnson 39 (30b 3x4 0x6) SR: 130;
17.3;2;Johnson to Ervine, 2 runs;
17.2;2;Johnson to Ervine, 2 runs;
17.1;1;Johnson to Chigumbura, 1 run;
15.6;2;Nannes to Taylor, 2 runs;
15.5;6;Nannes to Taylor, SIX runs;
15.4;1;Nannes to Chigumbura, 1 run;
15.3;1;Nannes to Taylor, 1 run;
15.2;2;Nannes to Taylor, 2 runs;
15.1;1;Nannes to Chigumbura, 1 run;
13.6;2;Lee to Chigumbura, 2 runs;
13.6;1nb;Lee to Chigumbura, (no ball);
13.5;1;Lee to Taylor, 1 run;
13.4;1;Lee to Chigumbura, 1 run;
13.3;?;Lee to Chigumbura, no run;
13.2;1;Lee to Taylor, 1 run;
13.1;1;Lee to Chigumbura, 1 run;
12.6;1;Smith to Chigumbura, 1 run;
12.5;?;Smith to Chigumbura, no run;
12.4;?;Smith to Chigumbura, no run;
12.3;1;Smith to Taylor, 1 run;
12.2;2;Smith to Taylor, 2 runs;
12.1;1;Smith to Chigumbura, 1 run;
11.6;6;Christian to Taylor, SIX runs;
11.5;4;Christian to Taylor, FOUR runs;
11.4;1;Christian to Chigumbura, 1 run;
11.3;?;Christian to Chigumbura, no run;
11.2;4;Christian to Chigumbura, FOUR runs;
11.1;?;Christian to Chigumbura, no run;
10.6;4;Smith to Taylor, FOUR runs;
10.5;1;Smith to Chigumbura, 1 run;
10.4;?;Smith to Chigumbura, no run;
10.3;?;Smith to Chigumbura, no run;
10.2;1;Smith to Taylor, 1 run;
10.1;?;Smith to Taylor, no run;
9.6;1lb;Christian to Taylor, 1 leg bye;
9.5;4;Christian to Taylor, FOUR runs;
9.4;1;Christian to Chigumbura, 1 run;
9.3;1;Christian to Taylor, 1 run;
9.2;2;Christian to Taylor, 2 runs;
9.2;5w;Christian to Taylor, 5 wide;
9.1;?;Christian to Taylor, no run;
8.6;?;Smith to Chigumbura, no run;
