Data
A highly competitive score by Australia, but given the pitch and going by past records, South Africa will fancy chasing this one. At one stage, with Clarke and Haddin going strong, it seemed as though a score of well above 350 was in the offing, but the spinners, as they did in the previous game, pulled it back for South Africa, with van der Merwe and the surprise package Duminy taking five wickets between them to curtail Australia in the middle stages.
Ferguson proved an important wicket as he had brought the momentum back with the visitors with a fluent 41 and the openers had departed. Ponting got a start but never looked dominant; and Hussey, along with Hauritz, dealt some useful blows in the end to take his team past 300. South Africa, though, have the wherewithal to chase this down, but with the pitch getting a little slow, their task may not be all that easy. Join us in about 30 minutes for the run-chase.
49.6;1b;Steyn to Hauritz, 1 bye full and wide, swings hard but makes no contact, they run through for a bye;
49.5;1;Steyn to Hussey, 1 run full outside off, slashed towards point where Gibbs keeps them down to a single;
49.4;1;Steyn to Hauritz, 1 run full on the off stump, makes room and steers it wide of point for a single;
49.3;6;Steyn to Hauritz, SIX runs slower ball on middle that he picked pretty early, made room and struck it cleanly over long-on into the stands, he's made up somewhat after struggling for most of this innings, 300 up;
49.2;?;Steyn to Hauritz, no run has a blind waft to a good length ball outside off, misses it completely;
49.1;4;Steyn to Hauritz, FOUR runs straying on the pads and Hauritz gets into the act, finally, full on the leg stump, clipped wide of short fine to the fine-leg boundary;
48.6;?;Morkel to Hussey, no run full and wide, makes room, chases it, but fails to reach;
48.5;4;Morkel to Hussey, FOUR runs full on middle and leg, length ball, and gets the treatment, Hussy plants his front foot forward and strikes it in the gap between long-on and deep midwicket for a one bounce four;
48.4;1;Morkel to Hauritz, 1 run;
48.3;2;Morkel to Hauritz, 2 runs pushed off the front foot wide of long-off for a couple;
48.2;?;Morkel to Hauritz, no run short outside off, goes for the pull again but fails to connect;
48.1;2;Morkel to Hauritz, 2 runs dropped by Steyn at fine leg, short on middle, tried to pull it over square leg got the top edge but Steyn at fine leg spilled a relatively easy chance running to his right;
47.6;?;Steyn to Hussey, no run full on middle and leg, was in the slot, a length ball that, tried to smash it over midwicket, ended up getting an inside edge just wide of leg stump;
