Data
19.6;4;Bracken to Smith, FOUR runs;
19.5;2;Bracken to Smith, 2 runs;
19.4;4;Bracken to Smith, FOUR runs;
19.3;W;Bracken to JJ van der Wath, OUT;Johan van der Wath c Clarke b Bracken 14 (10m 7b 1x4 1x6) SR: 200;
19.2;6;Bracken to JJ van der Wath, SIX runs;
19.1;1;Bracken to Smith, 1 run;
18.6;1;Lewis to Smith, 1 run;
18.5;2;Lewis to Smith, 2 runs;
18.4;1;Lewis to JJ van der Wath, 1 run;
18.3;2;Lewis to JJ van der Wath, 2 runs;
18.2;?;Lewis to JJ van der Wath, no run;
18.1;1;Lewis to Smith, 1 run;
17.6;4;Watson to JJ van der Wath, FOUR runs;
17.5;1;Watson to Smith, 1 run;
17.4;1;Watson to JJ van der Wath, 1 run;
17.3;1;Watson to Smith, 1 run;
17.2;?;Watson to Smith, no run;
17.1;W;Watson to Pollock, OUT;Shaun Pollock c Clark b Watson 2 (4m 3b 0x4 0x6) SR: 66.66;
16.6;4;Lewis to Smith, FOUR runs;
16.5;4;Lewis to Smith, FOUR runs;
16.4;1;Lewis to Pollock, 1 run;
16.3;1;Lewis to Smith, 1 run;
16.2;1;Lewis to Pollock, 1 run;
16.1;W;Lewis to Gibbs, OUT;Herschelle Gibbs lbw b Lewis 56 (46m 34b 4x4 4x6) SR: 164.7;
15.6;4;Hogg to Smith, FOUR runs;
15.5;1;Hogg to Gibbs, 1 run;
15.4;6;Hogg to Gibbs, SIX runs;
15.3;6;Hogg to Gibbs, SIX runs;
15.2;2;Hogg to Gibbs, 2 runs;
15.1;4;Hogg to Gibbs, FOUR runs;
14.6;1;Bracken to Gibbs, 1 run;
14.5;1;Bracken to Smith, 1 run;
14.4;4;Bracken to Smith, FOUR runs;
14.3;1lb;Bracken to Gibbs, 1 leg bye;
14.2;1;Bracken to Smith, 1 run;
14.1;1;Bracken to Gibbs, 1 run;
13.6;1;Hogg to Gibbs, 1 run;
13.5;4;Hogg to Gibbs, FOUR runs;
13.4;1;Hogg to Smith, 1 run;
13.3;1;Hogg to Gibbs, 1 run;
13.2;6;Hogg to Gibbs, SIX runs;
13.2;1w;Hogg to Gibbs, 1 wide;
13.1;1;Hogg to Smith, 1 run;
12.6;1;Clark to Smith, 1 run;
12.5;?;Clark to Smith, no run;
12.4;3b;Clark to Gibbs, 3 byes;
12.3;1;Clark to Smith, 1 run;
12.2;1;Clark to Gibbs, 1 run;
12.1;1;Clark to Smith, 1 run;
11.6;1;Watson to Smith, 1 run;
11.5;4;Watson to Smith, FOUR runs;
11.4;1;Watson to Gibbs, 1 run;
11.3;6;Watson to Gibbs, SIX runs;
11.2;1;Watson to Smith, 1 run;
11.1;2;Watson to Smith, 2 runs;
10.6;1;Clark to Smith, 1 run;
10.5;?;Clark to Smith, no run;
10.4;?;Clark to Smith, no run;
10.3;1;Clark to Gibbs, 1 run;
10.2;1;Clark to Smith, 1 run;
10.1;4;Clark to Smith, FOUR runs;
9.6;?;Watson to Gibbs, no run;
9.5;1;Watson to Smith, 1 run;
9.5;1w;Watson to Smith, 1 wide;
9.4;6;Watson to Smith, SIX runs;
9.3;1lb;Watson to Gibbs, 1 leg bye;
9.2;1;Watson to Smith, 1 run;
9.1;4;Watson to Smith, FOUR runs;
8.6;2;Clark to Gibbs, 2 runs;
8.5;?;Clark to Gibbs, no run;
8.4;?;Clark to Gibbs, no run;
8.3;?;Clark to Gibbs, no run;
8.2;?;Clark to Gibbs, no run;
8.1;2;Clark to Gibbs, 2 runs;
7.6;1;Lewis to Gibbs, 1 run;
7.5;1lb;Lewis to Smith, 1 leg bye;
7.4;1;Lewis to Gibbs, 1 run;
7.3;1;Lewis to Smith, 1 run;
7.2;2;Lewis to Smith, 2 runs;
7.1;?;Lewis to Smith, no run;
6.6;?;Clark to Gibbs, no run;
6.5;?;Clark to Gibbs, no run;
6.4;4;Clark to Gibbs, FOUR runs;
6.3;4;Clark to Gibbs, FOUR runs;
6.2;1lb;Clark to Smith, 1 leg bye;
6.1;2;Clark to Smith, 2 runs;
5.6;?;Lewis to Gibbs, no run;
5.5;?;Lewis to Gibbs, no run;
5.4;W;Lewis to Bosman, OUT;Loots Bosman b Lewis 23 (26m 18b 3x4 1x6) SR: 127.77;
5.3;?;Lewis to Bosman, no run;
5.2;6;Lewis to Bosman, SIX runs;
5.1;2;Lewis to Bosman, 2 runs;
4.6;1;Lee to Bosman, 1 run;
4.5;?;Lee to Bosman, no run;
4.4;?;Lee to Bosman, no run;
4.3;4;Lee to Bosman, FOUR runs;
4.2;?;Lee to Bosman, no run;
4.1;4;Lee to Bosman, FOUR runs;
3.6;?;Bracken to Smith, no run;
3.5;4;Bracken to Smith, FOUR runs;
3.4;?;Bracken to Smith, no run;
3.3;?;Bracken to Smith, no run;
3.2;4;Bracken to Smith, FOUR runs;
3.2;1w;Bracken to Smith, 1 wide;
3.1;2;Bracken to Smith, 2 runs;
2.6;1;Lee to Smith, 1 run;
2.5;?;Lee to Smith, no run;
2.4;1;Lee to Bosman, 1 run;
2.3;1;Lee to Smith, 1 run;
2.2;1lb;Lee to Bosman, 1 leg bye;
2.1;1;Lee to Smith, 1 run;
1.6;?;Bracken to Bosman, no run;
1.5;1;Bracken to Smith, 1 run;
1.4;?;Bracken to Smith, no run;
1.3;2;Bracken to Smith, 2 runs;
1.3;1w;Bracken to Smith, 1 wide;
1.2;1lb;Bracken to Bosman, 1 leg bye;
1.1;4;Bracken to Bosman, FOUR runs;
0.6;1;Lee to Bosman, 1 run;
0.5;?;Lee to Bosman, no run;
0.4;4b;Lee to Bosman, 4 byes;
0.3;1;Lee to Smith, 1 run;
0.2;?;Lee to Smith, no run;
0.1;?;Lee to Smith, no run;

 Innings Start
19.6;6;Ntini to Lee, SIX runs;
19.5;1;Ntini to Bracken, 1 run;
19.4;1;Ntini to Lee, 1 run;
19.3;2;Ntini to Lee, 2 runs;
19.2;2;Ntini to Lee, 2 runs;
19.1;4;Ntini to Lee, FOUR runs;
18.6;?;Hall to Bracken, no run;
18.5;2;Hall to Bracken, 2 runs;
18.4;W;Hall to Hogg, OUT;Brad Hogg c Smith b Hall 41 (35m 25b 2x4 3x6) SR: 164;
18.4;1w;Hall to Hogg, 1 wide;
18.3;1;Hall to Lee, 1 run;
18.2;1;Hall to Hogg, 1 run;
18.1;2;Hall to Hogg, 2 runs;
17.6;2;JJ van der Wath to Lee, 2 runs;
17.5;1;JJ van der Wath to Hogg, 1 run;
17.4;1;JJ van der Wath to Lee, 1 run;
17.3;1;JJ van der Wath to Hogg, 1 run;
17.2;1;JJ van der Wath to Lee, 1 run;
17.1;1;JJ van der Wath to Hogg, 1 run;
16.6;6;Telemachus to Lee, SIX runs;
16.5;1;Telemachus to Hogg, 1 run;
16.4;?;Telemachus to Hogg, no run;
16.3;1;Telemachus to Lee, 1 run;
16.2;1;Telemachus to Hogg, 1 run;
16.1;4;Telemachus to Hogg, FOUR runs;
16.1;1w;Telemachus to Hogg, 1 wide;
15.6;?;JJ van der Wath to Lee, no run;
15.5;?;JJ van der Wath to Lee, no run;
15.4;4;JJ van der Wath to Lee, FOUR runs;
15.3;4;JJ van der Wath to Lee, FOUR runs;
15.2;4;JJ van der Wath to Lee, FOUR runs;
15.1;?;JJ van der Wath to Lee, no run;
14.6;6;Peterson to Hogg, SIX runs;
14.5;1;Peterson to Lee, 1 run;
14.4;1;Peterson to Hogg, 1 run;
14.3;1;Peterson to Lee, 1 run;
14.2;1;Peterson to Hogg, 1 run;
14.1;1;Peterson to Lee, 1 run;
13.6;?;Hall to Hogg, no run;
