Data
35.2;W;Symonds to Mohammad Rafique, OUT;Mohammad Rafique b Symonds 0 (8m 6b 0x4 0x6) SR: 0;
35.1;?;Symonds to Mohammad Rafique, no run;
34.6;?;Hogg to Nazmul, no run;
34.5;W;Hogg to Mortaza, OUT;Mashrafe Mortaza c Martyn b Hogg 0 (1m 3b 0x4 0x6) SR: 0;
34.4;?;Hogg to Mortaza, no run;
34.3;?;Hogg to Mortaza, no run;
34.2;W;Hogg to Manjural Islam Rana, OUT;Manzarul Islam st ?Gilchrist b Hogg 2 (7m 5b 0x4 0x6) SR: 40;
34.1;?;Hogg to Manjural Islam Rana, no run;
33.6;?;Symonds to Mohammad Rafique, no run;
33.5;?;Symonds to Mohammad Rafique, no run;
33.4;?;Symonds to Mohammad Rafique, no run;
33.3;?;Symonds to Mohammad Rafique, no run;
33.2;W;Symonds to Ashraful, OUT;Mohammad Ashraful c & b Symonds 58 (102m 86b 2x4 2x6) SR: 67.44;
33.1;?;Symonds to Ashraful, no run;
32.6;?;Hogg to Manjural Islam Rana, no run;
32.5;2;Hogg to Manjural Islam Rana, 2 runs;
32.4;?;Hogg to Manjural Islam Rana, no run;
32.3;W;Hogg to Khaled Mashud, OUT;Khaled Mashud b Hogg 4 (12m 12b 0x4 0x6) SR: 33.33;
32.2;?;Hogg to Khaled Mashud, no run;
32.1;?;Hogg to Khaled Mashud, no run;
15.6;?;Watson to Ashraful, no run;
15.5;?;Watson to Ashraful, no run;
15.4;2;Watson to Ashraful, 2 runs;
15.3;?;Watson to Ashraful, no run;
15.2;?;Watson to Ashraful, no run;
15.1;?;Watson to Ashraful, no run;
14.6;1;Gillespie to Ashraful, 1 run;
14.5;4;Gillespie to Ashraful, FOUR runs;
14.4;?;Gillespie to Ashraful, no run;
14.3;?;Gillespie to Ashraful, no run;
14.2;?;Gillespie to Ashraful, no run;
14.1;?;Gillespie to Ashraful, no run;
31.6;?;Symonds to Ashraful, no run;
31.5;?;Symonds to Ashraful, no run;
31.4;1;Symonds to Khaled Mashud, 1 run;
31.3;?;Symonds to Khaled Mashud, no run;
31.2;?;Symonds to Khaled Mashud, no run;
31.1;3;Symonds to Ashraful, 3 runs;
30.6;?;Hogg to Khaled Mashud, no run;
30.5;?;Hogg to Khaled Mashud, no run;
30.4;1;Hogg to Ashraful, 1 run;
30.3;1;Hogg to Khaled Mashud, 1 run;
30.2;1;Hogg to Ashraful, 1 run;
30.1;?;Hogg to Ashraful, no run;
