Data
Match State: Innings Break
19.6;W;Kane Richardson to Neesham, OUT;James Neesham c Smith b Richardson 31 (18b 3x4 2x6) SR: 172.22;
19.5;?;Kane Richardson to Neesham, no run;
19.4;6;Kane Richardson to Neesham, SIX runs;
19.3;?;Kane Richardson to Neesham, no run;
19.2;W;Kane Richardson to Southee, OUT;Tim Southee c Agar b Richardson 3 (4b 0x4 0x6) SR: 75;
19.1;1;Kane Richardson to Neesham, 1 run;
18.6;1;Starc to Neesham, 1 run;
18.5;1;Starc to Southee, 1 run;
18.4;1;Starc to Neesham, 1 run;
18.3;1;Starc to Southee, 1 run;
18.2;1;Starc to Neesham, 1 run;
18.1;1;Starc to Southee, 1 run;
17.6;4;Kane Richardson to Neesham, FOUR runs;
17.5;W;Kane Richardson to Santner, OUT;Mitchell Santner c Agar b Richardson 2 (6b 0x4 0x6) SR: 33.33;
17.4;1;Kane Richardson to Neesham, 1 run;
17.4;1w;Kane Richardson to Neesham, 1 wide;
17.3;4;Kane Richardson to Neesham, FOUR runs;
17.2;?;Kane Richardson to Neesham, no run;
17.1;1;Kane Richardson to Santner, 1 run;
16.6;?;Agar to Neesham, no run;
16.5;1;Agar to Santner, 1 run;
16.4;?;Agar to Santner, no run;
16.3;?;Agar to Santner, no run;
16.2;?;Agar to Santner, no run;
16.1;W;Agar to Phillips, OUT;Glenn Phillips b Agar 2 (6b 0x4 0x6) SR: 33.33;
15.6;1;Marsh to Phillips, 1 run;
15.5;?;Marsh to Phillips, no run;
15.4;1;Marsh to Neesham, 1 run;
15.3;?;Marsh to Neesham, no run;
15.2;4;Marsh to Neesham, FOUR runs;
15.1;6;Marsh to Neesham, SIX runs;
14.6;?;Starc to Phillips, no run;
14.5;1;Starc to Neesham, 1 run;
14.4;W;Starc to Conway, OUT;Devon Conway lbw b Starc 12 (14b 1x4 0x6) SR: 85.71;
14.3;4;Starc to Conway, FOUR runs;
14.2;1;Starc to Phillips, 1 run;
14.1;1;Starc to Conway, 1 run;
13.6;?;Zampa to Phillips, no run;
13.5;W;Zampa to Williamson, OUT;Kane Williamson b Zampa 37 (30b 5x4 0x6) SR: 123.33;
13.4;?;Zampa to Williamson, no run;
13.3;1;Zampa to Conway, 1 run;
13.2;?;Zampa to Conway, no run;
13.1;?;Zampa to Conway, no run;
12.6;4;Agar to Williamson, FOUR runs;
12.5;4;Agar to Williamson, FOUR runs;
12.4;1;Agar to Conway, 1 run;
12.3;?;Agar to Conway, no run;
12.2;1;Agar to Williamson, 1 run;
12.1;1;Agar to Conway, 1 run;
11.6;?;Marsh to Williamson, no run;
11.5;1;Marsh to Conway, 1 run;
11.4;1;Marsh to Williamson, 1 run;
11.3;1;Marsh to Conway, 1 run;
11.2;?;Marsh to Conway, no run;
11.1;1;Marsh to Williamson, 1 run;
10.6;1;Zampa to Williamson, 1 run;
10.5;?;Zampa to Williamson, no run;
10.4;1;Zampa to Conway, 1 run;
10.3;1;Zampa to Williamson, 1 run;
10.2;1;Zampa to Conway, 1 run;
10.1;1;Zampa to Williamson, 1 run;
9.6;4;Starc to Mitchell, FOUR runs;
9.5;?;Starc to Mitchell, no run;
9.4;1;Starc to Williamson, 1 run;
9.3;4;Starc to Williamson, FOUR runs;
9.2;1;Starc to Mitchell, 1 run;
9.1;1;Starc to Williamson, 1 run;
8.6;2;Agar to Mitchell, 2 runs;
8.5;4;Agar to Mitchell, FOUR runs;
8.4;1;Agar to Williamson, 1 run;
8.3;4;Agar to Williamson, FOUR runs;
8.2;?;Agar to Williamson, no run;
8.1;4;Agar to Williamson, FOUR runs;
7.6;1;Marsh to Williamson, 1 run;
7.5;2;Marsh to Williamson, 2 runs;
7.4;2;Marsh to Williamson, 2 runs;
7.3;1;Marsh to Mitchell, 1 run;
7.2;?;Marsh to Mitchell, no run;
7.1;6;Marsh to Mitchell, SIX runs;
6.6;?;Zampa to Williamson, no run;
6.5;1;Zampa to Mitchell, 1 run;
6.4;1;Zampa to Williamson, 1 run;
6.3;1;Zampa to Mitchell, 1 run;
6.2;4;Zampa to Mitchell, FOUR runs;
6.1;1;Zampa to Williamson, 1 run;
5.6;1;Kane Richardson to Williamson, 1 run;
5.5;?;Kane Richardson to Williamson, no run;
5.4;?;Kane Richardson to Williamson, no run;
5.4;1w;Kane Richardson to Williamson, 1 wide;
5.3;?;Kane Richardson to Williamson, no run;
5.2;?;Kane Richardson to Williamson, no run;
5.1;1;Kane Richardson to Mitchell, 1 run;
4.6;W;Zampa to Guptill, OUT;Martin Guptill lbw b Zampa 30 (20b 4x4 1x6) SR: 150;
